# BEAST v1.8.4
# Generated Tue Jan 21 10:44:43 PST 2020 [seed=1579632280352]
# mumps-NA-DTA-skygrid-25-2020-01-16.xml
state	division
4760000	"wisconsin"
4770000	"indiana"
4780000	"washington"
4790000	"alabama"
4800000	"missouri"
4810000	"illinois"
4820000	"illinois"
4830000	"washington"
4840000	"washington"
4850000	"pennsylvania"
4860000	"illinois"
4870000	"north_dakota"
4880000	"massachusetts"
4890000	"ontario"
4900000	"kansas"
4910000	"north_dakota"
4920000	"california"
4930000	"new_hampshire"
4940000	"ohio"
4950000	"illinois"
4960000	"north_dakota"
4970000	"ohio"
4980000	"new_york"
4990000	"virginia"
5000000	"alabama"
5010000	"manitoba"
5020000	"missouri"
5030000	"new_jersey"
5040000	"virginia"
5050000	"new_jersey"
5060000	"washington"
5070000	"michigan"
5080000	"michigan"
5090000	"alabama"
5100000	"illinois"
5110000	"alabama"
5120000	"manitoba"
5130000	"alabama"
5140000	"louisiana"
5150000	"north_dakota"
5160000	"manitoba"
5170000	"california"
5180000	"north_dakota"
5190000	"arkansas"
5200000	"ohio"
5210000	"arkansas"
5220000	"wisconsin"
5230000	"north_dakota"
5240000	"missouri"
5250000	"new_york"
5260000	"missouri"
5270000	"british_columbia"
5280000	"arkansas"
5290000	"alabama"
5300000	"kansas"
5310000	"massachusetts"
5320000	"north_carolina"
5330000	"georgia"
5340000	"new_jersey"
5350000	"north_dakota"
5360000	"ontario"
5370000	"british_columbia"
5380000	"iowa"
5390000	"new_jersey"
5400000	"north_carolina"
5410000	"iowa"
5420000	"ontario"
5430000	"kansas"
5440000	"washington"
5450000	"virginia"
5460000	"illinois"
5470000	"kansas"
5480000	"michigan"
5490000	"washington"
5500000	"ontario"
5510000	"virginia"
5520000	"arkansas"
5530000	"michigan"
5540000	"british_columbia"
5550000	"washington"
5560000	"ohio"
5570000	"washington"
5580000	"indiana"
5590000	"kansas"
5600000	"pennsylvania"
5610000	"new_hampshire"
5620000	"alabama"
5630000	"texas"
5640000	"washington"
5650000	"new_york"
5660000	"british_columbia"
5670000	"michigan"
5680000	"british_columbia"
5690000	"washington"
5700000	"alabama"
5710000	"new_jersey"
5720000	"ontario"
5730000	"iowa"
5740000	"north_dakota"
5750000	"wisconsin"
5760000	"michigan"
5770000	"wisconsin"
5780000	"missouri"
5790000	"louisiana"
5800000	"california"
5810000	"louisiana"
5820000	"louisiana"
5830000	"iowa"
5840000	"arkansas"
5850000	"virginia"
5860000	"ohio"
5870000	"michigan"
5880000	"new_jersey"
5890000	"kansas"
5900000	"michigan"
5910000	"british_columbia"
5920000	"manitoba"
5930000	"kansas"
5940000	"wisconsin"
5950000	"manitoba"
5960000	"illinois"
5970000	"new_jersey"
5980000	"alabama"
5990000	"washington"
6000000	"arkansas"
6010000	"missouri"
6020000	"michigan"
6030000	"pennsylvania"
6040000	"illinois"
