state	number_transitions
tree STATE_18710000	12
tree STATE_18720000	14
tree STATE_18730000	13
tree STATE_18740000	11
tree STATE_18750000	13
tree STATE_18760000	14
tree STATE_18770000	14
tree STATE_18780000	13
tree STATE_18790000	11
tree STATE_18800000	15
tree STATE_18810000	13
tree STATE_18820000	12
tree STATE_18830000	13
tree STATE_18840000	13
tree STATE_18850000	13
tree STATE_18860000	13
tree STATE_18870000	13
tree STATE_18880000	13
tree STATE_18890000	16
tree STATE_18900000	13
tree STATE_18910000	15
tree STATE_18920000	15
tree STATE_18930000	15
tree STATE_18940000	15
tree STATE_18950000	17
tree STATE_18960000	17
tree STATE_18970000	14
tree STATE_18980000	14
tree STATE_18990000	14
tree STATE_19000000	15
tree STATE_19010000	13
tree STATE_19020000	13
tree STATE_19030000	13
tree STATE_19040000	13
tree STATE_19050000	13
tree STATE_19060000	14
tree STATE_19070000	14
tree STATE_19080000	14
tree STATE_19090000	14
tree STATE_19100000	14
tree STATE_19110000	15
tree STATE_19120000	15
tree STATE_19130000	14
tree STATE_19140000	15
tree STATE_19150000	13
tree STATE_19160000	11
tree STATE_19170000	15
tree STATE_19180000	13
tree STATE_19190000	11
tree STATE_19200000	14
tree STATE_19210000	14
tree STATE_19220000	14
tree STATE_19230000	13
tree STATE_19240000	12
tree STATE_19250000	14
tree STATE_19260000	15
tree STATE_19270000	14
tree STATE_19280000	12
tree STATE_19290000	13
tree STATE_19300000	13
tree STATE_19310000	13
tree STATE_19320000	13
tree STATE_19330000	13
tree STATE_19340000	14
tree STATE_19350000	13
tree STATE_19360000	14
tree STATE_19370000	13
tree STATE_19380000	13
tree STATE_19390000	15
tree STATE_19400000	12
tree STATE_19410000	15
tree STATE_19420000	14
tree STATE_19430000	11
tree STATE_19440000	12
tree STATE_19450000	14
tree STATE_19460000	10
tree STATE_19470000	13
tree STATE_19480000	12
tree STATE_19490000	13
tree STATE_19500000	11
tree STATE_19510000	12
tree STATE_19520000	12
tree STATE_19530000	13
tree STATE_19540000	13
tree STATE_19550000	14
tree STATE_19560000	14
tree STATE_19570000	13
tree STATE_19580000	13
tree STATE_19590000	13
tree STATE_19600000	13
tree STATE_19610000	13
tree STATE_19620000	13
tree STATE_19630000	14
tree STATE_19640000	13
tree STATE_19650000	15
tree STATE_19660000	15
tree STATE_19670000	14
tree STATE_19680000	13
tree STATE_19690000	12
tree STATE_19700000	15
tree STATE_19710000	15
tree STATE_19720000	15
tree STATE_19730000	12
tree STATE_19740000	13
tree STATE_19750000	14
tree STATE_19760000	13
tree STATE_19770000	15
tree STATE_19780000	14
tree STATE_19790000	15
tree STATE_19800000	14
tree STATE_19810000	14
tree STATE_19820000	14
tree STATE_19830000	13
tree STATE_19840000	14
tree STATE_19850000	12
tree STATE_19860000	13
tree STATE_19870000	14
tree STATE_19880000	11
tree STATE_19890000	15
tree STATE_19900000	14
tree STATE_19910000	13
tree STATE_19920000	13
tree STATE_19930000	14
tree STATE_19940000	14
tree STATE_19950000	14
tree STATE_19960000	14
tree STATE_19970000	14
tree STATE_19980000	14
tree STATE_19990000	14
tree STATE_20000000	13
tree STATE_20010000	14
tree STATE_20020000	13
tree STATE_20030000	13
tree STATE_20040000	13
tree STATE_20050000	12
tree STATE_20060000	13
tree STATE_20070000	13
tree STATE_20080000	16
tree STATE_20090000	16
tree STATE_20100000	15
tree STATE_20110000	14
tree STATE_20120000	15
